Temperature,Vibration,Force
23.09,18.75,0.34
23.05,18.36,0.34
23.09,18.44,0.34
23.09,18.24,0.34
23.09,17.57,0.34
23.11,18.63,0.34
23.09,17.38,0.34
23.09,18.55,0.34
23.17,17.73,0.34
23.15,18.71,0.34
23.23,17.85,0.34
23.29,18.87,0.34
23.15,17.77,0.34
23.11,18.4,0.34
23.09,17.65,0.34
23.05,18.91,0.34
23.17,18.63,0.34
23.11,17.69,0.34
23.11,17.85,0.34
23.15,19.06,0.34
23.15,18.4,0.34
23.11,18.87,0.33
23.17,17.69,0.33
23.45,17.73,0.33
23.63,18.87,0.33
23.87,18.67,0.33
23.99,18.51,0.33
24.05,17.85,0.33
23.69,17.61,0.33
23.39,17.77,0.33
23.23,18.79,0.33
23.15,18.59,0.33
23.11,17.89,0.32
23.17,18.67,0.32
23.15,18.83,0.34
23.15,17.77,0.35
23.15,18.4,-0.95
23.21,18.63,0.88
23.21,18.75,0.98
23.17,18.4,1.05
23.23,18.4,1.09
23.15,18.32,1.13
23.17,18.44,1.17
23.17,18.51,1.19
23.21,18.59,1.24
23.21,18.36,1.28
23.17,18.36,1.28
23.17,18.32,1.2
23.17,18.4,1.2
23.29,18.4,1.2
23.27,18.36,1.19
23.17,18.36,1.19
23.17,18.36,1.19
23.15,18.32,1.19
23.17,18.4,1.19
23.27,18.51,1.18
23.27,18.36,1.18
23.11,18.36,1.18
23.27,18.4,1.18
23.27,18.36,1.18
23.27,18.36,1.18
23.23,18.36,1.18
23.29,18.32,1.18
23.29,18.32,1.17
23.27,18.32,1.17
23.29,18.44,1.17
23.17,18.44,1.17
23.17,18.63,1.17
23.29,18.16,1.17
23.15,18.75,0.27
23.15,18.63,0.27
23.09,17.93,0.27
23.17,17.93,0.27
23.17,19.14,0.27
23.17,18.32,0.27
23.05,17.77,0.27
23.11,19.18,0.27
23.21,18.4,0.27
23.17,17.57,0.27
23.17,18.63,0.27
23.17,17.89,0.27
23.11,18.99,0.27
23.17,18.12,0.28
23.17,18.75,0.28
23.17,18.4,0.27
23.15,19.3,0.28
23.17,17.97,0.27
23.17,18.51,0.26
23.11,18.48,0.25
23.21,18.71,0.24
23.21,18.24,0.24
23.23,18.48,0.24
23.17,18.95,0.25
23.21,18.16,0.26
23.33,18.01,0.36
23.29,18.04,0.43
23.23,18.55,0.44
23.23,18.36,0.23
23.27,18.48,0.23
23.27,18.2,0.23
