Temperature,Vibration,Force
2323.0,20.04,-0.0
23.17,20.04,-0.0
23.23,20.04,-0.0
23.27,20.04,-0.0
23.27,20.04,-0.0
23.23,20.04,-0.0
23.33,20.04,-0.0
23.39,20.04,-0.0
23.45,20.04,-0.0
23.45,20.04,-0.0
23.41,20.04,-0.01
23.33,20.04,-0.01
23.33,20.04,-0.01
23.35,20.04,-0.01
23.29,20.04,-0.01
23.27,20.04,-0.01
23.39,20.04,-0.02
23.27,20.04,-0.02
23.23,20.04,-0.02
23.29,20.04,-0.03
23.33,20.04,-0.04
23.33,20.04,-0.03
23.39,20.04,-0.03
23.35,20.04,-0.04
23.27,20.04,-0.03
23.29,20.04,0.09
23.39,20.04,0.09
23.29,20.04,0.1
23.35,20.04,0.09
23.35,20.04,0.11
23.41,20.04,-0.04
23.47,20.04,-0.04
23.69,20.04,-0.04
23.71,20.04,0.01
23.69,20.04,0.13
23.69,20.04,-0.03
23.71,20.04,0.1
23.65,20.04,-0.04
23.81,20.04,-0.04
23.75,20.04,-0.03
23.91,20.04,0.37
23.75,20.04,0.03
23.51,20.04,0.03
23.47,20.04,0.03
23.47,20.04,0.06
23.41,20.04,0.08
23.41,20.04,0.07
23.51,20.04,0.07
23.45,20.04,0.06
23.41,20.04,0.06
23.35,20.04,0.08
23.45,20.04,0.12
23.47,20.04,0.12
23.45,20.04,0.13
23.51,20.04,0.14
23.51,20.04,0.21
23.41,20.04,0.25
23.33,20.04,0.28
23.39,20.04,0.34
23.35,20.04,0.15
23.35,20.04,0.15
23.41,20.04,0.14
23.59,20.04,0.16
23.57,20.04,0.17
23.39,20.04,0.19
23.41,20.04,0.17
23.47,20.04,0.17
23.51,20.04,0.17
23.57,20.04,0.17
23.71,20.04,0.17
23.75,20.04,0.18
23.69,20.04,0.17
23.71,20.04,0.22
23.65,20.04,0.25
23.53,20.04,0.29
23.41,20.04,0.38
23.45,20.04,0.39
23.45,20.04,0.42
23.51,20.04,0.44
23.51,20.04,0.47
23.51,20.04,0.5
23.45,20.04,0.51
23.39,20.04,0.49
23.45,20.04,0.5
23.41,20.04,0.54
23.41,20.04,0.59
23.39,20.04,0.62
23.47,20.04,0.66
23.39,20.04,0.7
23.45,20.04,0.79
23.57,20.04,0.75
23.53,20.04,0.74
23.41,20.04,0.74
23.41,20.04,0.75
23.69,20.04,-0.82
23.53,20.04,0.33
23.47,20.04,0.33
23.39,20.04,0.27
23.41,20.04,0.17
23.57,20.04,0.16
23.59,20.04,0.16
