Temperature,Vibration,Force
23.69,-6.28,-0.08
23.69,-0.39,-0.02
23.99,11.3,-0.01
23.35,17.85,-0.07
23.33,17.81,-0.07
23.29,13.77,-0.07
23.35,17.85,-0.07
23.33,17.81,-0.07
23.29,13.77,-0.07
23.79,18.71,-0.07
23.75,18.91,-0.07
23.79,17.22,-0.07
23.75,18.75,-0.07
23.71,17.42,-0.07
23.65,17.61,-0.07
23.75,17.06,-0.07
24.09,18.2,-0.07
24.05,17.61,-0.07
24.09,16.95,-0.07
24.05,19.02,-0.07
23.97,17.81,-0.07
23.87,18.36,-0.07
23.85,16.28,-0.07
23.87,19.65,-0.07
23.97,18.95,-0.07
23.99,16.44,-0.07
23.91,18.79,-0.08
23.87,18.36,-0.06
23.91,18.01,-0.08
23.87,17.53,-0.09
23.91,17.61,-0.06
23.99,18.32,-0.07
23.87,17.02,-0.07
23.97,19.22,-0.07
23.91,18.91,-0.07
23.87,16.75,-0.09
23.91,17.85,-0.06
23.97,14.12,0.04
23.93,18.99,0.06
24.05,19.81,0.12
23.97,17.61,0.18
23.97,11.65,0.3
23.99,20.04,0.35
23.91,20.04,0.4
24.09,16.71,0.45
23.45,20.04,-0.95
23.33,18.87,3.01
23.51,17.38,3.16
23.39,18.87,3.26
23.53,17.85,3.47
24.05,19.81,-0.07
23.87,17.77,-0.07
23.97,17.73,-0.07
24.05,19.81,-0.07
24.09,20.04,-0.95
23.75,17.22,-0.05
23.91,20.04,0.83
23.69,18.51,0.87
23.57,13.96,-0.03
23.65,2.47,-0.1
23.79,20.04,-0.08
23.81,19.1,-0.08
24.11,15.85,-0.06
24.17,17.22,-0.06
24.15,18.79,-0.06
24.11,16.79,-0.06
24.17,15.81,-0.06
24.05,20.04,-0.06
24.09,20.04,-0.06
24.11,15.97,-0.06
24.17,13.49,-0.06
24.29,15.49,-0.06
24.35,15.53,-0.06
24.39,12.94,-0.06
24.35,19.5,-0.06
24.27,10.4,-0.06
24.29,20.04,-0.06
24.27,16.87,-0.06
24.17,15.73,-0.06
24.17,12.51,-0.06
24.15,14.04,-0.06
24.15,8.08,-0.06
24.17,20.04,-0.06
24.21,19.34,-0.06
24.17,17.97,-0.06
23.97,17.22,-0.06
23.91,18.63,-0.06
23.81,16.67,-0.06
23.91,17.34,-0.06
23.97,16.95,-0.06
23.97,18.12,-0.06
24.03,18.59,-0.06
23.91,15.18,-33.94
23.85,17.81,-0.07
23.91,16.59,-0.06
23.91,17.5,-0.06
23.97,18.59,-0.06
24.11,20.04,-0.07
23.99,16.28,-0.07
24.09,16.48,-0.07
