Temperature,Vibration,Force
23.03,17.65,-0.0
23.05,17.61,-0.0
23.05,17.53,-0.0
23.53,19.65,-0.0
22.93,17.06,-0.0
22.99,16.0,-0.0
22.95,16.44,-0.0
22.93,17.5,-0.0
23.05,18.83,-0.0
24.35,18.04,-0.0
23.45,16.91,-0.0
23.53,19.38,-0.0
24.33,18.71,0.01
30.23,18.24,0.01
24.57,16.48,-0.05
23.91,17.3,-0.0
23.57,17.65,0.0
23.63,19.93,0.04
23.39,18.4,0.13
23.39,14.98,0.29
23.39,20.04,0.43
23.39,17.85,0.89
23.35,6.98,1.24
23.35,13.73,1.56
23.41,19.5,2.2
23.39,17.26,2.81
23.39,18.79,3.35
23.27,17.61,3.68
23.35,17.65,3.63
23.35,17.61,3.62
23.53,17.53,3.61
23.57,17.69,3.6
23.53,17.46,3.56
23.57,17.65,3.58
23.45,17.65,3.57
23.39,17.61,3.56
23.33,18.99,3.56
23.33,20.04,0.03
23.27,20.04,0.07
23.21,16.48,0.1
23.23,20.04,0.15
23.23,11.06,0.19
23.29,-13.42,0.25
23.47,17.61,1.9
23.41,17.93,2.19
23.47,18.24,2.48
23.39,17.5,2.88
23.39,17.65,2.93
23.41,17.61,2.92
23.39,17.69,2.91
23.39,17.61,2.91
23.51,17.61,2.99
23.53,17.73,2.98
23.57,17.5,1.14
23.79,17.77,-0.21
24.05,17.69,-0.21
23.81,17.65,0.98
23.79,17.69,0.05
23.39,16.24,-0.02
23.41,16.83,38.3
23.47,16.2,-0.02
23.39,15.81,-0.02
23.39,19.14,-0.02
23.39,17.18,-0.02
23.35,14.98,-0.02
23.29,15.49,-0.02
23.29,19.77,-0.02
23.41,16.55,-0.02
23.39,18.91,-0.02
23.41,13.77,-0.02
23.41,20.04,0.02
23.45,20.04,0.06
23.51,20.04,0.12
23.47,20.04,0.15
23.45,20.04,0.19
23.45,20.04,-0.95
23.71,13.57,-0.03
23.71,20.04,-0.04
23.47,19.42,-0.06
23.41,17.38,-0.06
23.65,19.02,-0.06
23.75,17.77,-0.09
23.75,17.3,-0.05
23.63,19.02,-0.08
23.63,19.18,-0.12
23.63,17.18,-0.09
23.75,12.16,-0.05
23.75,14.36,-0.06
23.81,20.04,-0.06
23.65,20.04,-0.06
23.81,17.65,-0.07
23.93,18.63,-0.06
24.05,18.08,-0.06
24.05,19.26,-0.05
23.97,17.18,-0.05
23.81,17.69,-0.06
23.75,17.02,-0.04
23.75,18.08,-0.05
23.75,18.16,-0.08
23.71,16.48,-0.08
23.75,20.04,-0.12
23.79,16.83,-0.07
23.69,18.48,-0.07
23.69,16.67,-0.07
23.75,17.57,-0.07
23.71,17.26,-0.07
23.65,18.44,-0.07
23.51,17.14,-0.07
23.51,18.95,-0.07
23.53,18.28,-0.07
