Temperature,Vibration,Force
24.15,17.77,0.44
24.09,17.85,0.44
24.09,17.81,0.44
24.09,17.69,0.44
24.09,17.46,0.43
24.09,17.73,0.44
24.09,16.16,0.43
24.09,17.57,0.44
24.09,17.65,0.44
23.47,16.99,-0.03
23.45,19.1,-0.02
23.47,18.04,-0.02
23.41,17.38,-0.02
23.51,18.83,-0.02
23.47,16.16,-0.02
23.45,19.3,-0.02
23.45,18.83,-0.02
23.45,15.73,-0.02
23.53,18.71,-0.02
23.51,16.44,-0.02
23.57,18.87,-0.02
23.57,18.91,-0.02
23.57,17.61,-0.02
23.53,19.3,-0.02
23.53,19.3,-0.02
23.59,14.95,-0.02
23.63,8.51,-0.02
23.63,20.04,0.0
23.69,17.57,0.01
23.63,20.04,0.02
23.69,20.04,0.02
23.53,20.04,0.03
23.47,20.04,0.06
23.51,20.04,0.07
23.53,20.04,0.08
23.47,13.42,0.1
23.45,20.04,0.11
23.41,20.04,0.13
23.45,15.89,0.18
23.39,5.61,0.2
23.35,20.04,0.31
23.33,20.04,0.33
23.33,20.04,0.36
23.29,20.04,0.4
23.27,9.65,0.61
23.35,20.04,0.63
23.33,8.94,0.65
23.39,-5.88,0.69
23.39,-6.9,0.71
23.35,3.92,0.75
23.35,-0.51,0.8
23.33,12.51,0.83
23.35,20.04,1.05
23.35,20.04,1.07
23.33,10.12,1.09
23.39,20.04,2.18
23.71,18.51,2.3
23.71,17.34,2.41
23.75,15.77,2.43
23.79,15.49,2.46
23.75,15.18,2.52
23.81,15.53,2.55
23.81,19.73,2.57
23.79,18.51,2.65
23.79,17.77,2.68
23.87,16.59,2.7
23.87,17.34,2.77
23.81,17.81,2.84
23.75,17.73,2.84
23.79,17.3,2.84
23.85,17.77,2.91
23.79,17.73,2.92
23.87,17.73,2.91
23.75,17.73,2.91
23.75,17.73,2.91
23.81,17.81,2.91
23.87,17.69,2.91
23.75,17.65,2.9
23.87,17.73,2.9
23.87,17.93,2.9
23.91,17.89,2.9
23.91,17.85,2.9
23.97,17.77,2.9
23.97,17.81,2.9
23.99,17.73,2.9
23.97,17.73,2.9
23.51,19.46,0.01
23.47,17.73,0.01
23.57,16.95,0.01
23.57,18.83,0.01
23.51,17.38,0.01
23.53,15.97,0.01
23.51,18.36,0.01
23.53,15.77,0.01
23.51,17.89,0.01
23.47,17.06,0.01
23.57,18.55,0.02
23.57,20.04,0.04
23.53,18.59,0.04
23.53,20.04,0.05
23.57,20.04,0.05
23.53,20.04,0.05
23.53,20.04,0.06
23.53,18.01,0.06
23.53,15.81,0.07
23.57,20.04,0.07
23.57,8.51,0.07
23.59,15.06,0.13
23.57,1.45,0.2
23.59,7.85,0.18
23.57,20.04,0.2
23.59,20.04,0.21
23.53,15.42,0.32
23.93,20.04,0.31
23.79,6.94,0.31
23.81,20.04,-0.95
23.69,17.85,-0.95
23.81,20.04,-0.04
23.65,16.04,-0.07
23.71,20.04,-0.08
