Vibration,Temperature,Force
23.53,20.04,0.03
23.47,20.04,0.06
23.51,20.04,0.07
23.53,20.04,0.08
23.47,13.42,0.10
23.45,20.04,0.11
23.41,20.04,0.13
23.45,15.89,0.18
23.39,5.61,0.20
23.35,20.04,0.31
23.33,20.04,0.33
23.33,20.04,0.36
23.29,20.04,0.40
23.27,9.65,0.61
23.35,20.04,0.63
23.33,8.94,0.65
23.39,-5.88,0.69
23.39,-6.90,0.71
23.35,3.92,0.75
23.35,-0.51,0.80
23.33,12.51,0.83
23.35,20.04,1.05
23.35,20.04,1.07
23.33,10.12,1.09
23.39,20.04,2.18
NAN,13.49,2.28
23.71,18.51,2.30
23.71,17.34,2.41
23.75,15.77,2.43
23.79,15.49,2.46
23.75,15.18,2.52
23.81,15.53,2.55
23.81,19.73,2.57
23.79,18.51,2.65
23.79,17.77,2.68
23.87,16.59,2.70
23.87,17.34,2.77
23.85,17.85,2.81
23.93,17.81,2.86
23.79,17.77,2.86
23.87,17.77,2.86
23.87,17.69,2.86
23.85,17.77,2.85
23.85,17.73,2.85
23.85,17.81,2.85
23.85,17.77,2.84
23.79,17.81,2.84
23.81,17.81,2.84
23.75,17.73,2.84
23.79,17.30,2.84
