Vibration,Temperature,Force
23.85,17.77,2.91
23.79,17.73,2.92
23.87,17.73,2.91
23.75,17.73,2.91
23.75,17.73,2.91
23.81,17.81,2.91
23.87,17.69,2.91
23.75,17.65,2.90
23.87,17.73,2.90
23.87,17.93,2.90
23.91,17.89,2.90
23.91,17.85,2.90
23.97,17.77,2.90
23.97,17.81,2.90
23.99,17.73,2.90
23.97,17.73,2.90
23.51,19.46,0.01
23.47,17.73,0.01
23.57,16.95,0.01
23.57,18.83,0.01
23.51,17.38,0.01
23.53,15.97,0.01
23.51,18.36,0.01
23.53,15.77,0.01
23.51,17.89,0.01
23.47,17.06,0.01
23.57,18.55,0.02
23.57,20.04,0.04
23.53,18.59,0.04
23.53,20.04,0.05
23.57,20.04,0.05
23.53,20.04,0.05
23.53,20.04,0.06
23.53,18.01,0.06
23.53,15.81,0.07
23.57,20.04,0.07
23.57,8.51,0.07
23.59,15.06,0.13
23.57,1.45,0.20
23.59,7.85,0.18
23.57,20.04,0.20
23.59,20.04,0.21
23.53,15.42,0.32
23.93,20.04,0.31
23.79,6.94,0.31
23.81,20.04,-0.95
23.69,17.85,-0.95
23.81,20.04,-0.04
23.65,16.04,-0.07
23.71,20.04,-0.08
