Temperature,Vibration,Force
24.77,14.98,0.17
24.81,19.3,0.17
24.71,13.81,0.17
24.81,14.04,0.17
24.81,15.65,0.16
24.75,14.16,0.16
24.75,20.04,0.16
24.81,17.22,0.17
24.81,15.73,0.17
24.77,15.22,0.16
24.77,15.85,0.18
24.77,15.61,0.18
24.87,13.06,0.18
24.81,20.04,0.18
24.89,17.77,0.18
24.83,20.04,0.19
24.87,14.59,0.19
24.93,17.77,0.19
24.87,19.1,0.19
24.99,14.67,0.19
25.01,14.98,0.2
25.01,16.75,0.2
25.17,18.59,0.2
25.17,15.93,0.21
25.19,15.77,0.21
25.37,17.73,0.21
25.47,18.51,0.21
25.49,17.26,0.21
25.67,14.98,0.21
25.75,15.89,0.2
25.81,18.87,0.18
26.03,17.06,0.18
26.09,16.75,0.18
26.15,17.26,0.19
26.29,16.67,0.18
26.53,17.06,0.21
26.53,17.77,0.22
26.55,17.42,0.25
26.55,17.06,0.27
26.49,16.91,0.29
26.43,17.1,0.3
26.49,16.95,0.28
26.47,17.1,0.27
26.55,16.99,0.26
26.59,17.02,0.25
26.59,17.02,0.25
26.61,17.18,0.24
26.59,17.02,0.25
26.65,17.02,0.25
26.73,16.99,0.25
26.73,16.83,0.25
26.83,16.91,0.25
26.85,16.95,0.24
26.83,17.02,0.24
26.79,17.06,0.24
26.79,16.99,0.24
26.77,16.99,0.24
27.93,16.95,0.21
27.99,19.26,0.21
27.99,15.77,0.21
27.93,17.73,0.21
27.95,20.04,0.21
27.99,15.3,0.21
28.01,15.1,0.21
27.99,18.67,0.21
28.07,17.3,0.21
28.01,15.26,0.21
28.13,19.1,0.21
28.05,17.06,0.21
27.95,15.06,0.21
28.07,19.73,0.21
28.13,17.02,0.21
28.33,15.02,0.21
28.25,18.67,0.21
28.37,16.32,0.21
28.51,17.5,0.21
28.45,17.34,0.21
28.39,15.73,0.21
28.25,18.75,0.21
28.27,14.0,0.21
28.23,19.06,0.21
28.25,17.38,0.21
28.23,15.53,0.21
28.19,20.04,0.21
28.23,15.1,0.21
28.25,17.89,0.21
28.25,16.44,0.21
28.25,18.87,0.21
28.25,15.18,0.21
28.23,18.4,0.21
28.25,18.16,0.21
28.23,16.75,0.21
28.25,17.85,0.21
28.23,14.79,0.21
28.25,17.77,0.21
28.19,15.93,0.21
28.23,16.87,0.21
28.25,19.65,0.21
28.19,13.73,0.21
28.19,15.06,0.21
28.13,18.75,0.21
28.25,15.3,0.21
28.27,19.06,0.22
28.23,20.04,0.22
28.25,20.04,0.21
28.25,14.98,0.21
28.25,20.04,0.21
28.19,19.26,0.22
28.19,20.04,0.24
28.27,20.04,0.22
28.19,20.04,0.21
28.23,20.04,0.21
28.19,20.04,0.18
28.39,20.04,0.12
28.01,20.04,0.11
28.11,10.04,0.09
28.07,13.06,0.05
28.13,9.45,0.04
28.01,17.42,0.02
27.85,9.57,0.01
27.85,16.55,-0.0
