Temperature,Vibration,Force
23.65,17.57,2.98
23.53,17.73,2.98
23.59,17.69,2.98
23.51,17.46,2.98
23.53,17.89,2.98
23.53,18.32,2.35
23.57,17.5,1.14
23.53,17.61,-0.21
23.57,17.5,-0.21
23.51,18.48,-0.21
23.57,17.61,-0.21
23.79,17.77,-0.21
24.05,17.42,-0.21
24.05,17.73,-0.21
24.03,16.87,-0.21
24.03,17.69,-0.21
24.05,17.69,-0.21
23.97,17.46,-0.21
23.87,18.95,-0.21
23.85,17.42,0.55
23.81,17.46,1.66
23.81,17.65,0.98
23.85,17.34,0.61
23.79,17.53,0.43
23.71,17.34,0.21
23.87,17.65,0.11
23.79,17.69,0.05
23.51,18.32,-0.02
23.29,17.57,-0.02
23.29,17.57,-0.02
23.41,15.06,-0.02
23.39,16.24,-0.02
23.41,17.85,-0.02
23.39,15.49,-0.02
23.47,18.67,-0.02
23.41,18.16,-0.02
23.41,16.83,38.3
23.47,17.46,-54.09
23.45,16.91,-0.02
23.53,17.69,-0.02
23.41,17.69,-0.02
23.47,16.2,-0.02
23.39,18.04,-0.02
23.33,17.61,-0.02
23.41,17.18,-0.02
23.41,17.61,-0.02
23.39,15.81,-0.02
23.45,17.81,-0.02
23.39,16.4,-0.02
23.33,17.65,-0.02
23.35,15.77,-0.02
23.39,19.14,-0.02
23.35,16.12,-0.02
23.41,19.1,-0.02
23.39,17.81,-0.02
23.45,17.53,-0.02
23.39,17.18,-0.02
23.51,17.34,-0.02
23.45,18.2,-0.02
23.39,16.75,-0.02
23.29,19.85,-0.02
23.35,14.98,-0.02
23.41,18.63,-0.02
23.35,15.38,-0.02
23.27,19.3,-0.02
23.29,16.2,-0.02
23.29,15.49,-0.02
23.27,17.69,-0.02
23.29,15.65,-0.02
23.35,18.95,-0.02
23.29,15.65,-0.02
23.29,19.77,-0.02
23.29,16.67,-0.02
23.29,18.63,-0.02
23.39,15.38,-0.02
23.41,18.91,-0.02
23.41,16.55,-0.02
23.39,18.16,-0.02
23.41,16.91,-0.02
23.39,18.75,-0.02
23.47,20.04,-0.02
23.39,18.91,-0.02
23.39,20.04,-0.02
23.41,19.14,-0.01
23.41,13.3,-0.0
23.35,18.63,-0.01
23.41,13.77,-0.02
23.41,16.32,-0.01
23.39,20.04,-0.01
23.47,15.3,0.01
23.45,20.04,0.01
23.41,20.04,0.02
23.35,17.18,0.03
23.45,20.04,0.04
23.47,9.49,0.04
23.47,9.3,0.05
23.45,20.04,0.06
23.47,18.28,0.09
23.41,20.04,0.09
23.53,6.04,0.09
23.39,20.04,0.12
23.51,20.04,0.12
23.45,20.04,0.12
23.45,19.97,0.15
23.47,20.04,0.15
23.47,20.04,0.14
23.47,20.04,0.15
23.45,20.04,0.15
23.41,20.04,0.14
23.41,-4.12,0.15
23.45,3.37,0.16
23.45,20.04,0.19
23.41,-5.37,0.19
23.41,20.04,0.2
23.47,20.04,0.24
23.45,20.04,0.25
23.45,20.04,-0.95
23.45,3.45,-0.95
23.47,15.69,-0.95
23.59,11.96,-0.04
23.63,15.42,-0.03
23.71,13.57,-0.03
23.71,14.75,-0.04
23.75,20.04,-0.04
23.71,20.04,-0.03
23.71,20.04,-0.04
23.71,20.04,-0.04
23.65,16.04,-0.05
23.65,19.69,-0.06
23.71,20.04,-0.06
23.57,17.73,-0.06
23.47,19.42,-0.06
23.47,15.49,-0.06
23.45,19.77,-0.06
23.41,15.34,-0.06
23.47,18.48,-0.06
23.41,17.38,-0.06
23.41,16.48,-0.06
23.47,20.04,-0.06
23.45,12.0,-0.06
23.51,20.04,-0.06
23.65,19.02,-0.06
23.65,17.22,-0.06
23.69,18.28,-0.06
23.71,17.89,-0.06
23.71,17.53,-0.07
23.75,17.77,-0.09
23.79,14.55,-0.09
23.69,19.22,-0.08
23.71,19.02,-0.04
23.75,17.73,-0.05
23.75,17.3,-0.05
23.65,17.73,-0.05
23.65,18.48,-0.06
23.57,16.4,-0.1
23.59,20.04,-0.1
23.63,19.02,-0.08
23.65,14.95,-0.12
23.63,17.02,-0.11
23.63,17.65,-0.11
23.69,17.14,-0.12
23.63,19.18,-0.12
23.63,16.67,-0.12
23.51,17.46,-0.09
23.63,18.83,-0.08
23.59,19.5,-0.12
23.63,17.18,-0.09
23.65,9.96,-0.09
23.69,17.46,-0.06
23.69,20.04,-0.06
23.69,20.04,-0.06
23.75,12.16,-0.05
23.81,20.04,-0.06
23.71,14.16,-0.06
23.79,19.14,-0.06
23.75,15.46,-0.07
23.75,14.36,-0.06
23.75,13.73,-0.06
23.75,17.89,-0.06
23.71,7.96,-0.06
23.71,19.5,-0.06
23.81,20.04,-0.06
23.65,17.42,-0.06
23.63,16.48,-0.07
23.63,17.85,-0.06
23.65,18.95,-0.06
23.65,20.04,-0.06
23.71,11.3,-0.06
23.69,20.04,-0.05
23.71,19.89,-0.04
23.75,13.85,-0.08
23.81,17.65,-0.07
23.85,15.26,-0.07
23.97,17.69,-0.06
23.97,14.95,-0.06
23.97,13.02,-0.06
23.93,18.63,-0.06
24.03,15.26,-0.06
24.09,13.89,-0.06
24.05,16.51,-0.06
24.05,16.12,-0.06
24.05,18.08,-0.06
24.11,15.97,-0.06
24.09,17.34,-0.06
24.11,20.04,-0.06
24.05,14.16,-0.05
24.05,19.26,-0.05
24.11,20.04,-0.05
24.03,18.32,-0.06
23.99,18.44,-0.06
23.97,10.9,-0.06
23.97,17.18,-0.05
23.85,13.49,-0.05
23.87,17.61,-0.06
23.85,17.46,-0.06
23.79,16.24,-0.06
23.81,17.69,-0.06
23.79,17.26,-0.07
23.87,18.2,-0.02
23.97,18.28,0.01
23.85,17.02,-0.02
23.75,17.02,-0.04
23.79,17.3,-0.04
23.75,18.36,-0.05
23.85,17.34,-0.04
23.69,17.57,-0.04
23.75,18.08,-0.05
23.79,17.57,-0.06
23.75,16.75,-0.06
23.71,17.06,-0.07
23.69,17.65,-0.08
23.75,18.16,-0.08
23.71,20.04,-0.08
23.75,18.87,-0.08
23.75,20.04,-0.09
23.75,18.99,-0.08
23.71,16.48,-0.08
23.75,20.04,-0.09
23.75,7.34,-0.09
23.79,20.04,-0.13
23.75,16.2,-0.13
23.75,20.04,-0.12
23.79,16.32,-0.09
23.81,18.04,-0.07
23.69,18.48,-0.07
23.79,18.91,-0.07
23.79,16.83,-0.07
23.81,17.77,-0.07
23.75,17.69,-0.07
23.71,18.48,-0.07
23.71,18.36,-0.07
23.69,18.48,-0.07
23.69,19.81,-0.07
23.65,16.0,-0.07
23.65,18.28,-0.07
23.63,20.04,-0.07
23.69,16.67,-0.07
23.65,18.55,-0.07
23.71,17.93,-0.07
23.71,17.26,-0.07
23.69,16.4,-0.07
23.75,17.57,-0.07
23.79,17.77,-0.07
23.71,18.28,-0.07
23.71,18.2,-0.07
23.69,16.71,-0.07
23.71,17.26,-0.07
23.69,19.5,-0.07
23.65,17.85,-0.07
23.69,17.18,-0.07
23.69,17.3,-0.07
23.65,18.44,-0.07
23.63,18.08,-0.07
23.57,15.38,-0.07
23.57,18.12,-0.07
23.63,17.69,-0.07
23.51,17.14,-0.07
23.63,19.65,-0.07
23.59,16.67,-0.07
23.59,19.69,-0.07
23.51,14.98,-0.07
23.51,18.95,-0.07
23.53,14.67,-0.07
23.53,15.1,-0.07
23.51,18.48,-0.07
23.63,14.79,-0.07
23.53,18.28,-0.07
23.53,17.22,-0.07
23.51,18.24,-0.07
23.51,16.55,-0.07
23.47,18.08,-0.07
