Vibration,Temperature,Force
27.73,20.04,-0.19
27.73,13.53,-0.19
27.95,17.42,-0.20
27.95,14.40,-0.20
27.95,14.71,-0.20
28.13,14.36,-0.21
28.43,9.57,-0.21
28.43,0.75,-0.21
28.63,11.73,-0.21
28.69,2.28,-0.21
28.75,16.63,-0.22
28.75,3.96,-0.22
28.95,16.04,-0.22
29.05,5.02,-0.22
29.15,16.12,-0.22
29.23,10.24,-0.22
29.29,12.91,-0.22
29.37,6.51,-0.22
29.39,10.94,-0.22
29.43,10.83,-0.22
29.59,20.04,-0.23
29.71,4.67,-0.23
29.75,20.04,-0.24
30.03,9.65,-0.24
30.17,20.04,-0.24
30.19,5.06,-0.26
30.71,20.04,-0.26
30.93,16.71,-0.26
31.11,9.73,-0.23
30.97,20.04,-0.11
32.31,-0.08,-0.11
32.39,20.04,-0.09
32.47,20.04,-0.07
32.45,2.39,-0.08
32.49,20.04,-0.07
32.49,15.34,-0.07
32.63,13.38,-0.04
32.77,0.94,-0.04
32.71,0.35,-0.03
32.45,8.98,-0.03
33.05,9.22,-0.02
32.77,8.71,-0.03
32.77,-20.08,-0.01
33.11,11.38,-0.01
33.19,15.10,-0.02
33.29,16.95,-0.02
33.25,16.99,-0.02
33.29,20.04,-0.03
33.25,13.69,-0.03
33.39,19.06,-0.03
